Автор,Название статьи,Категория,Уровень сложности,Время на прочтение (ч.),Количество просмотров (тыс.),Рейтинг,Добавить в закладки,Комментарии
Terentew,Майнд-карта успешной физической трансформации. Питание. Тренировки. Мотивация,Обзор,,0.12,7.4,+19,"
    131
  ",25
arsis-ltd,Разработка RESTful API: как использовать ExpressJS и другие фреймворки для создания RESTful API,Из песочницы,,0.15,2.8,+5,"
    30
  ",2
mpei_iot,Превращаем обычный электросчетчик в умный: продолжаем осваивать Samsung SmartThings,Туториал,Сложный,0.15,29.0,+22,"
    67
  ",50
yanorm,"Если у тебя стресс и мало времени: 6 практик на 5, 10 и 20 минут от ЯНорм",,,0.1,3.0,+2,"
    50
  ",6
sacredtree,"Инновации «на полке»: технологии, которым нашли применение спустя много лет после изобретения",Ретроспектива,Простой,0.13,3.1,+5,"
    20
  ",10
fish224,"Экскурсия в натуральные числа или Расширенная Гипотеза Коллатца, часть II",,Средний,0.05,2.5,+4,"
    25
  ",0
krumpans,Марокко как локация для удалённой работы: что делать и сколько стоит жизнь?,,,0.23,8.1,+25,"
    38
  ",20
MagicHappens,Смартфоны будущего: какими они будут?,,Простой,0.13,4.3,+5,"
    16
  ",35
novikovalegal,"Как вести переписку с контрагентами, чтобы вернуть свои деньги, если что-то пойдет не так",Из песочницы,Простой,0.05,4.4,+7,"
    36
  ",18
Amangeldi,Занимательная задача с микросервисами в .NET,Recovery Mode,,0.05,7.5,-2,"
    31
  ",31
Nigylam,One-on-one. Девлог. Карта со сложным кастомным эффектом,Ретроспектива,Простой,0.05,0.685,+4,"
    4
  ",0
Lexus08,Удобный рабочий монитор с книжной и альбомной ориентацией. Обзор офисного монитора Digma DM-MONB2708,Обзор,Средний,0.07,2.7,0,"
    6
  ",12
isumix,Fusor vs React,,,0.03,4.5,+13,"
    14
  ",41
masterdak,Инженер — ИИ,,,0.03,1.3,0,"
    9
  ",3
ElonReeveMusk,JavaScript pattern CustomSwitch,,Простой,0.08,4.7,-11,"
    13
  ",8
SLY_G,"Астрономы обнаружили самый дальний радиовсплеск из известных, произошедший 8 миллиардов лет назад",Перевод,,0.08,3.3,+14,"
    8
  ",2
ha7y,История одного домашнего дата-центра,Ретроспектива,Средний,0.15,31.0,+108,"
    143
  ",55
adss332,CRUD React c Redux и Saga + typescript в 2023,Туториал,Средний,0.25,5.3,+1,"
    40
  ",6
solonkov,Почему ты не станешь программистом,Кейс,Простой,0.12,102.0,+70,"
    210
  ",317
MaxRyazan,Тернист ли путь в современное IT?,Из песочницы,Простой,0.08,6.6,+2,"
    28
  ",6
Sixshaman,Возможно ли увеличить интеллект?,Роадмэп,Средний,0.05,5.8,+8,"
    34
  ",66
mvideo,Умный дом и другие гаджеты глазами фантастов,Ретроспектива,Простой,0.23,2.4,+18,"
    14
  ",0
iMonin,Дросселирование воздуха. Истечение воздушной струи из ресивера в атмосферу со сверхзвуковой скоростью,,,0.3,7.9,+21,"
    34
  ",7
karen07,Как собрать свой собственный x86 Wi-Fi роутер,Туториал,Средний,0.07,34.0,+34,"
    143
  ",275
badcasedaily1,Событийное логирование для аналитики и мониторинга работы телеграм-бота,,,0.15,2.3,+9,"
    48
  ",2
TomHunter,Проверяем контакты: OSINT и иные методы,Обзор,,0.23,5.7,0,"
    66
  ",2
DrMefistO,"Исследуем саундбар Yamaha YAS-109, часть 2",Туториал,Сложный,0.2,9.3,+48,"
    40
  ",12
IgnatChuker,Обзор «Яндекс ТВ Станции»,Обзор,,0.12,6.7,+12,"
    12
  ",15
MaxRokatansky,Сжатие сообщений в Apache Kafka,Перевод,,0.1,4.0,+4,"
    32
  ",0
AlexMih,Как использовали компьютеры в СССР. Общение с вычислительным центром,Recovery Mode,,0.07,5.6,+29,"
    25
  ",51
beeline_cloud,Какой длины должны быть классы — когда «чистый» код на самом деле не так уж и хорош,Перевод,,0.1,12.0,+15,"
    41
  ",27
ko_ya,Чтение на выходные: «Новая Типографика. Руководство современного дизайнера» Яна Чихольда,Обзор,Простой,0.05,1.7,+8,"
    16
  ",2
digitalsibur,"Как на заводах начал жить МАКАР, и при чём здесь колёса",Кейс,Средний,0.07,4.7,+13,"
    13
  ",12
MaxRokatansky,Исследование рыночной корзины на основе данных розничной торговли в Стамбуле,,,0.08,1.4,+8,"
    21
  ",3
GeeksCat,От Atari до Ouya: провальные игровые консоли,Ретроспектива,Простой,0.25,3.8,+32,"
    19
  ",5
divolko3,"Khadas Mind: мини-ПК, игровой компьютер и десктоп для решения обычных задач. Что это за девайс?",,,0.05,8.5,+16,"
    24
  ",3
ONSOUNDWAVES2013,Как качественный саунд-дизайн влияет на успешность игры,,Простой,0.17,0.638,0,"
    11
  ",8
lelyakuznetsova,Что расскажут на PiterPy 2023: много питонов и немного ржавчины,Обзор,,0.18,1.9,+10,"
    11
  ",2
IgnatChuker,Открытие и обзор кибербез‑хаба «Кибердом»,Репортаж,,0.15,1.8,+14,"
    7
  ",5
MAKO_digital,Как PandaShop перестал рекламировать всё подряд и стал лидером рынка онлайн-торговли в Молдавии,Кейс,Простой,0.17,0.55,-2,"
    6
  ",2
ntrox,Можно ли получить из нейронки рабочий дизайн интерфейса?,,,0.03,14.0,+8,"
    61
  ",29
maukur,Архитектура SwiftUI + VIPER: модульный подход к разработке iOS‑приложений,Из песочницы,Средний,0.13,0.909,0,"
    12
  ",2
Bright_Translate,Самые крупные DDoS-атаки нулевого дня на HTTP/2,Перевод,Простой,0.15,5.3,+36,"
    31
  ",1
kcliffor,Камера и Flutter,Обзор,Простой,0.1,2.9,+9,"
    16
  ",8
ph_piter,Запускаем нативную конфигурацию Linux как виртуальную машину при помощи HyperV,Перевод,,0.08,4.4,+8,"
    40
  ",27
alsnum,"Точка, точка, запятая, или Почему на Госуслугах нет части пунктуационных знаков",,Простой,0.1,6.0,+19,"
    27
  ",84
ZotovaTA,Биометрия. Не скуШно. Не душно,Обзор,Простой,0.13,2.6,+6,"
    15
  ",21
relex_ru,Чем полезен DevTools тестировщику: об основных вкладках и инструментах,Туториал,Простой,0.1,8.6,-2,"
    73
  ",0
pestich,Классификация текстов в spaCy: пошаговая инструкция,Из песочницы,Простой,0.08,1.8,+4,"
    37
  ",0
SLY_G,"Астрономы утверждают, что новые телескопы должны использовать преимущества «парадигмы Starship»",Перевод,Простой,0.12,4.7,+18,"
    3
  ",7
marimero,ChatGPT в диагностике обратимости деменции,,,0.17,1.6,+6,"
    11
  ",15
itglobalcom,Cubefabs: альтернатива традиционным мегафабриками и решение проблемы дефицита микросхем,,,0.07,2.5,+5,"
    7
  ",4
Clickru,"Почему профессионалам не стоит бояться, что искусственный интеллект отнимет у них работу",,,0.05,2.2,-1,"
    9
  ",12
Volokhovskii,Обзор нововведений в C# 12,,Средний,0.13,19.0,+46,"
    57
  ",61
balus,Есть ли перспективы у российских мобильных операционных систем?,Из песочницы,Простой,0.12,9.8,+2,"
    11
  ",30
CyberPaul,Уитфилд Диффи — ученый и шифропанк,Ретроспектива,Простой,0.12,6.2,+40,"
    37
  ",7
kira_s,ИТ-стажировки в Страховом Доме ВСК: как студенты погружаются в работу Блока ИТ,,Простой,0.08,0.629,-1,"
    5
  ",4
p_a_arty,Как мы запустили автобиддер для управления рекламными кампаниями в Ozon?,Кейс,Средний,0.22,2.1,+36,"
    26
  ",6
Kaspersky_Lab,"Приглашаем на онлайн-митап «Гетерогенность, или Деплой JavaScript туда и обратно»",,,0.02,0.917,+12,"
    7
  ",0
p_a_arty,Приглашаем на Ozon Tech Community ML&DS Meetup,,,0.03,0.808,+7,"
    5
  ",0
thetka4enko,Заблокируют ли нам VPN с помощью DPI?,Мнение,Простой,0.05,48.0,+14,"
    71
  ",130
ancotir,"ИИ в отечественной медицине: цели внедрения, перспективы и проблемы",Интервью,Простой,0.17,1.1,+15,"
    9
  ",9
Sertakov83,От «эффективного менеджмента персонала» к бережливому управлению людьми. Часть 3: разбираем организационные ошибки,Туториал,,0.4,3.9,+4,"
    38
  ",10
SuperLeha,Заработала система «Антифрод»: мошенники больше не позвонят,Обзор,Средний,0.07,19.0,+16,"
    7
  ",41
rstp,Как настроить GitHub Actions и не заплакать: пошаговая инструкция,Туториал,Средний,0.08,6.5,+10,"
    96
  ",2
Selishcheva,ПО для импортозамещения телекоммуникационных устройств,,Простой,0.05,0.977,-1,"
    5
  ",0
Lunathecat,Легендарный Brown Sound на полевых транзисторах,Ретроспектива,Простой,0.15,14.0,+40,"
    31
  ",5
Topchy,"Руководить, когда не готов к этому: путь от «чайка-менеджера» до «servant leader»",,Простой,0.13,4.4,+4,"
    28
  ",3
PurplePlane,Как создать черный список для токенов JWT в Django,Из песочницы,Средний,0.15,1.9,-3,"
    22
  ",3
bitrix24,С завода – в IT. История руководителя мобильного направления Битрикс24,,Простой,0.07,0.978,-2,"
    6
  ",0
OldfagGamer,Во что поиграть: Меч и Магия VII,Ретроспектива,Простой,0.1,13.0,+20,"
    19
  ",32
vladimir_lov,API от А до Я (теория и практика),Туториал,Простой,0.18,7.1,+5,"
    129
  ",7
PatientZero,"Как получить плашку совместимости со Steam Deck, не покупая Deck",Перевод,,0.05,5.8,+17,"
    14
  ",2
Petr0v1,"Как тебе такое, Илон Маск? SpaceX и Starlink обвиняют в увеличении объёма космического мусора и световом загрязнении",,,0.1,2.0,+6,"
    4
  ",9
SLY_G,"Учёные заявили об открытии «недостающего закона природы», объясняющего эволюцию всего во Вселенной, включая нас с вами",Перевод,Простой,0.07,118.0,+2,"
    53
  ",117
ivansychev,Как видели будущее компьютеров в СССР. Часть 2,Ретроспектива,,0.15,17.0,+33,"
    46
  ",45
AnatolyBelov,Распознавание речи (транскрибация) по аудиозаписям диалогов. Whisper. Личный опыт,,,0.08,4.3,+8,"
    57
  ",3
freehabr,Четыре (предлагаемых мною) принципа госрегулирования интернета,Мнение,Простой,0.08,2.1,-13,"
    4
  ",25
AlexMeshock,Как я создавал мобильное приложение для хранения прочитанных книг BookDesk,Из песочницы,Простой,0.15,3.4,+14,"
    42
  ",35
xeovo,Скрытая монополия VPN-рынка,Аналитика,,0.15,15.0,+29,"
    42
  ",17
spoot1986,Next JS и Nginx,Туториал,Простой,0.03,3.9,-4,"
    17
  ",12
Azya,Так какой же процессор использовался в играх Brick Game?,Ретроспектива,Средний,0.1,23.0,+294,"
    78
  ",128
Dmytro_Kikot,Путь к сердцу робота: гастрономические предпочтения и эмоции ИИ,,,0.25,0.452,+12,"
    7
  ",0
chudnovskiy,Как управлять сотнями sidecar-контейнеров без боли и сожаления,Туториал,Средний,0.15,2.9,+8,"
    22
  ",2
miheych,Под капотом у CarPrice: как мы управляем инфраструктурой и жизненным циклом приложений,Кейс,Простой,0.08,1.1,+3,"
    6
  ",2
snakers4,"Правда ли то, что национальный корпус русского языка «приватизирован» Яндексом?",,Простой,0.12,21.0,+139,"
    48
  ",70
shiotiny,ShIoTiny5 — новые веяния и маленькое устройство,Recovery Mode,Простой,0.2,3.8,+4,"
    13
  ",3
kTelyakov,Про забытые реккурентные задачи,Туториал,Простой,0.03,2.3,+3,"
    6
  ",12
slavanikolsky,Сделано в СССР. Первая орбитальная космическая станция «Салют 1» и скафандр «Сокол К»,,Простой,0.13,4.3,+26,"
    15
  ",3
Seleditor,Windows 11 спустя два года все еще безнадежно проигрывает «десятке». Почему?,,,0.07,38.0,+46,"
    26
  ",383
yuryweiland,Внедрение pet-проекта в реальный бизнес или как в одиночку написать ERP-систему для общепита,,Средний,0.15,5.9,+11,"
    35
  ",10
lol_wat,От инженера до руководителя разработки и обратно,,,0.1,3.5,-19,"
    16
  ",0
dprotopopov,Изучаем Q#. Алгоритм Гровера. Не будите спящего Цезаря,Туториал,Простой,0.23,4.1,+5,"
    27
  ",4
rukostya,Как мы с помощью чемпионата оценивали профессиональный уровень продактов,Кейс,Простой,0.17,3.3,+11,"
    7
  ",3
korvint,Как я учусь на курсах frontend разработки с помощью доработанного метода ZettelKasten,Роадмэп,Простой,0.15,14.0,+5,"
    73
  ",31
KirillOsin,Стеганография в файлах формата .m4a,Из песочницы,Простой,0.07,2.3,+5,"
    35
  ",17
zarubin_v,Сложные клиенты в ИТ: через тернии к профиту,,Простой,0.13,2.0,+5,"
    20
  ",23
badcasedaily1,Проектирование архитектуры для микросервисов с использованием gRPC,Обзор,Простой,0.15,13.0,+7,"
    132
  ",9
DeFacto,Оптимизируем Android приложение в пару подходов,Туториал,,0.12,2.3,+2,"
    43
  ",0
denis_afanasyev,Решение школьных задач по химии в Python,Туториал,Простой,0.08,9.0,+15,"
    75
  ",13
ph_piter,Книга «Linux для сетевых инженеров»,,,0.33,22.0,+16,"
    138
  ",9
myoffice_ru,Анализ «Пяти неправд»,Перевод,,0.13,5.6,+24,"
    40
  ",9
BekhanCode,Как устроен PassMark. Воспроизводим тесты из машинного кода,Аналитика,Средний,0.18,1.4,+5,"
    19
  ",1
atomlib,Гауссов сплэтинг: как это выглядит,Обзор,Простой,0.18,7.1,+62,"
    52
  ",13
Friflex_dev,Как быстро интегрировать Систему быстрых платежей (СБП) в приложение на Flutter,Туториал,Средний,0.12,4.4,+12,"
    55
  ",2
BiZone_team,"«На работу — с радостью!», или Что интересного в московском офисе BI.ZONE",Обзор,Простой,0.1,2.3,+9,"
    6
  ",4
akopyl,"Как потратить дни, чтобы сэкономить секунды: продвинутые коммиты в GitLab",Кейс,Средний,0.1,7.7,+31,"
    60
  ",17
shoom1337,"Сам себе ментор: 12 активностей, чтобы подрасти, не считая работы",Мнение,Простой,0.15,6.5,+17,"
    63
  ",4
solovevva,Вошел в IT. А что дальше?,Кейс,Простой,0.1,7.9,+1,"
    21
  ",10
Oksana_Nedvigina,Технологии продления жизни: как развивается 3D-печать органов,Аналитика,Простой,0.15,2.2,+5,"
    23
  ",1
smlab_stories,"Путешествуй, ни в чем себе не отказывай",,,0.05,5.3,+4,"
    22
  ",10
